id,name,aliases,summary,source_url
enemies-to-lovers,Enemies to Lovers,,Rivals become partners through conflict and chemistry.,
friends-to-lovers,Friends to Lovers,,Longtime confidants realize deeper romantic feelings.,
love-triangle,Love Triangle,,Three-person romantic tangle complicates decisions.,
forbidden-love,Forbidden Love,Star-Crossed Lovers,"Romance defies families, rules, or fate.",
slow-burn,Slow Burn,,Relationship builds gradually with restrained payoff.,
second-chance-romance,Second Chance Romance,,Former partners reunite after past failure.,
fake-dating,Fake Dating,,Pretend relationship sparks genuine feelings.,
secret-identity-romance,Secret Identity Romance,Mask Off,Hidden self endangers trust when revealed.,
meet-cute,Meet-Cute,,"Charming, memorable first encounter sparks attraction.",
miscommunication,Miscommunication,,Avoidable misunderstanding drives conflict between partners.,
found-family,Found Family,,Chosen bonds replace or surpass blood ties.,
ragtag-bunch-of-misfits,Ragtag Bunch of Misfits,,Diverse oddballs unite into a capable team.,
prophecy,Prophecy,,"Prediction shapes choices, expectations, and resistance.",
artifact-of-power,Artifact of Power,,Magical or advanced item grants great abilities.,
portal-fantasy,Portal Fantasy,,Characters cross from mundane world into a fantastical realm.,
time-travel-paradox,Time Travel Paradox,,Changes to the past threaten causality or identity.,
alternate-universe,Alternate Universe,Parallel World,A different reality explores changed choices or history.,
ai-uprising,AI Uprising,Machine Rebellion,Artificial intelligences revolt against creators.,
first-contact,First Contact,,Humans encounter nonhuman intelligence for the first time.,
space-opera,Space Opera,,Large-scale adventure across space empires and conflicts.,
cyberpunk-dystopia,Cyberpunk Dystopia,,High-tech world with low-life struggles and oppression.,
post-apocalypse,Post-Apocalypse,,Society rebuilds after catastrophic collapse.,
soft-magic-system,Soft Magic System,,Mystical rules are vague; wonder outweighs mechanics.,
hard-magic-system,Hard Magic System,,Well-defined magical rules shape strategy and costs.,
the-dark-lord,The Dark Lord,,Ancient or overwhelming evil opposes all that’s good.,
the-ancient-evil-awakens,The Ancient Evil Awakens,,Dormant threat resurfaces to menace the world.,
the-hidden-world,The Hidden World,,Secret society or realm coexists with everyday life.,
whodunit,Whodunit,,Investigation focuses on identifying the culprit.,
serial-killer-hunt,Serial Killer Hunt,,"Investigators track a repeating, escalating murderer.",
conspiracy-unraveled,Conspiracy Unraveled,,Web of hidden actors and motives comes to light.,
mind-games,Mind Games,Psychological Thriller,Manipulation and perception drive tension and doubt.,
haunted-house,Haunted House,,Location menaces occupants with ghosts or malevolent presence.,
body-horror,Body Horror,,Physical transformation or violation evokes dread.,
jump-scare,Jump Scare,,"Sudden shock startles audience, often audiovisually.",
cursed-object,Cursed Object,,Item brings misfortune until understood or destroyed.,
possession,Possession,,Entity takes control of a living host.,
survival-horror,Survival Horror,,Resource scarcity and vulnerability fuel fear.,
siege,Siege,,Characters withstand sustained assault in a confined place.,
monster-of-the-week,Monster of the Week,,Episodic threats resolved before the next installment.,
breaking-the-fourth-wall,Breaking the Fourth Wall,,Characters acknowledge audience or medium directly.,
lampshade-hanging,Lampshade Hanging,,Story points out its own trope to defuse disbelief.,
deconstruction,Deconstruction,Genre Deconstruction,Story examines and critiques a trope’s assumptions.,
reconstruction,Reconstruction,Genre Reconstruction,Restores sincerity after deconstruction’s cynicism.,
parody,Parody,,Humorous imitation highlights conventions and excesses.,
genre-mashup,Genre Mashup,,Deliberate blend of conventions from multiple genres.,
